trait,target_island,target_island_name,source_island,source_island_name,n_island,phi_mean,phi_std,phi_per_ind_mean,phi_per_ind_std,n_repeats,rank_mean_phi_per_ind
thr_wing,12,Vega,6,Indre Kvarøy,349,-0.0530909714672986,0.0938855073526176,-0.0001521231274134,0.0002690129150504,10,14
thr_wing,12,Vega,7,Onøy og Lurøy,256,0.028555431923255,0.1019784107994976,0.0001115446559502,0.0003983531671855,10,4
thr_wing,12,Vega,8,Lovund,151,-0.000115864346275,0.0612622972115865,-7.673135514903044e-07,0.0004057105775601,10,11
thr_wing,12,Vega,9,Sleneset,160,-0.0060266812255573,0.0866028851490182,-3.76667576597336e-05,0.0005412680321813,10,12
thr_wing,12,Vega,10,Aldra,173,0.0115622969596469,0.0607259102057736,6.683408647194781e-05,0.0003510168219986,10,5
thr_wing,12,Vega,11,Leka,581,0.0062938243172703,0.0419230885581111,1.0832744091687302e-05,7.215677892962324e-05,10,10
thr_wing,12,Vega,13,Vikna,583,-0.0613706234733008,0.0811431867747935,-0.0001052669356317,0.0001391821385502,10,13
thr_wing,12,Vega,14,Lauvøya,688,0.0846001288080178,0.1121916837619081,0.0001229653035,0.0001630693077934,10,3
thr_wing,13,Vikna,0,Nesøy,118,-0.0178615692021627,0.0642901088190233,-0.0001513692305268,0.0005448314306696,10,14
thr_wing,13,Vikna,1,Myken,92,0.0182228179127601,0.040205316717388,0.0001980741077473,0.0004370143121455,10,2
thr_wing,13,Vikna,2,Træna,286,0.0390453802964082,0.0758264750441172,0.0001365223087287,0.0002651275351192,10,3
thr_wing,13,Vikna,3,Selvær,191,-0.0024682940541215,0.0475668116569771,-1.2923005518960892e-05,0.0002490408987276,10,11
thr_wing,13,Vikna,4,Gjerøy,553,0.011106444933224,0.0672847381912588,2.0083987221019997e-05,0.0001216722209606,10,8
thr_wing,13,Vikna,5,Hestmannøy,1055,-0.0280184770030047,0.1600333232434822,-2.6557798107113496e-05,0.0001516903537852,10,12
thr_wing,13,Vikna,6,Indre Kvarøy,349,0.0473388861681555,0.0641404003468381,0.0001356415076451,0.0001837833820826,10,4
thr_wing,13,Vikna,7,Onøy og Lurøy,256,0.0270846417642409,0.0907977256277252,0.0001057993818915,0.0003546786157333,10,5
thr_wing,13,Vikna,8,Lovund,151,-0.001705948010542,0.0563557698569781,-1.1297668943987389e-05,0.0003732170189203,10,10
thr_wing,13,Vikna,9,Sleneset,160,0.0552333309199124,0.0812780262071236,0.0003452083182494,0.0005079876637945,10,1
thr_wing,13,Vikna,10,Aldra,173,0.0014047487421378,0.069100416237817,8.119934925652507e-06,0.0003994243713168,10,9
thr_wing,13,Vikna,11,Leka,581,0.0395933031559945,0.1327332004761189,6.814682126677206e-05,0.0002284564552084,10,6
